chemical    a    b    c    t_min (celsius)    t_max (celsius)
tetradecylamine    8.14238    2767.92    234.764    38.19    449.15
tetradecyl butanoate    7.26007    2458.53    165.094    304.466    446.85
tetradecyl acetate    7.81046    2400    190    246.85    346.85
tetradecanoic acid    7.91297    2450.62    160.791    54.4    482.85
tetradecanenitrile    7.30909    2025.17    149.326    197.927    471.969
tetradecane    7.013    1740.88    167.72    122    286
tetradecane    7.26165    1914.86    183.519    5.86    419.25
tetradecanal    7.70907    2346.17    202.924    146.777    444.174
tetracosylcyclopentane    6.49    1957.3    95.3121    295.143    608.885
tetracosylcyclohexane    6.39756    1750.45    39.7485    196.877    508
tetracosylbenzene    6.52691    1814.28    43.5948    197.444    504
tetracosylamine    6.61038    1808.03    55.782    329.614    586.572
tetracosane    7.09722    2112    109.6    175.858    441.255
tetracontylamine    8.7483    4888.5    273.15    401.462    610
tetracontane    7.16731    2422.3    40.1    284.165    574.764
tetrachlorothiophene    7.16956    1850.87    198.174    28.82    479.85
tetrachloromethane    6.84093    1177.91    220.576    -20    77
tetrachloroethylene    7.06892    1458.45    226.986    -22.35    346.85
tetrachloroethene    7.02    1415.49    221.01    34    187
tert-pentyl-alcohol    7.8753    1604.7    208.16    55    133
tert-pentyl-alcohol    7.00538    1125.64    170.91    -8.8    272
tert-pentyl acetate    6.87619    1223.46    182.219    44.3868    298.85
tert-octyl mercaptan    7.02083    1591.27    228.513    -74.15    353.85
tert-butylformamide    7.31893    1800.86    203.771    16    418.85
tert-butylcyclopentane    6.8417    1411.38    211.479    30.1252    349.414
tert-butylbenzene    6.88707    1509.57    207.654    -57.88    386.85
tert-butylamine    6.78309    993.262    210.493    19    75
tert-butylamine    7.15888    1216.94    240.061    -66.96    210.75
tert-butyl-ether    6.93294    1348.533    223.79    4    109
tert-butyl-alcohol    7.3199    1154.48    177.66    20    103
tert-butyl propanoate    7.58433    1535.55    185.069    66.3638    283.85
tert-butyl mercaptan    6.92597    1187.37    229.308    1.11    256.85
tert-butyl isocyanide    6.78399    1088.6    187.402    17.7291    271.57
tert-butyl formate    6.75103    1054.36    189.629    10.291    259.85
tert-butyl butanoate    6.94196    1290.79    181.839    54.3603    300.85
tert-butyl acetate    7.07055    1327.54    220.856    10    271.85
tert-butanol    7.13278    1068.74    168.931    25.82    233.05
terpinolene    6.92978    1574.26    203.804    -73.15    398.85
terephthalic acid    8.13159    3394.38    87.6035    427    839.85
tartaric acid    9.67704    3399.75    113.391    206    554.85
t-butyl hydroperoxide    8.0104    1874.75    233.128    4.3    302.85
t-1,4-dimethylcyclohexane    6.81773    1330.437    218.581    10    147
